"startTime";"endTime";"Hydro power production - real-time data"
"2026-03-31T21:00:00.000Z";"2026-03-31T21:03:00.000Z";1416.75
"2026-03-31T21:03:00.000Z";"2026-03-31T21:06:00.000Z";1366.4
"2026-03-31T21:06:00.000Z";"2026-03-31T21:09:00.000Z";1342.9
"2026-03-31T21:09:00.000Z";"2026-03-31T21:12:00.000Z";1335.73
"2026-03-31T21:12:00.000Z";"2026-03-31T21:15:00.000Z";1329.72
"2026-03-31T21:15:00.000Z";"2026-03-31T21:18:00.000Z";1334.5
"2026-03-31T21:18:00.000Z";"2026-03-31T21:21:00.000Z";1345.77
"2026-03-31T21:21:00.000Z";"2026-03-31T21:24:00.000Z";1345.22
"2026-03-31T21:24:00.000Z";"2026-03-31T21:27:00.000Z";1338.61
"2026-03-31T21:27:00.000Z";"2026-03-31T21:30:00.000Z";1339.66
"2026-03-31T21:30:00.000Z";"2026-03-31T21:33:00.000Z";1347.72
"2026-03-31T21:33:00.000Z";"2026-03-31T21:36:00.000Z";1325.01
"2026-03-31T21:36:00.000Z";"2026-03-31T21:39:00.000Z";1299.94
"2026-03-31T21:39:00.000Z";"2026-03-31T21:42:00.000Z";1300.45
"2026-03-31T21:42:00.000Z";"2026-03-31T21:45:00.000Z";1298.72
"2026-03-31T21:45:00.000Z";"2026-03-31T21:48:00.000Z";1306.55
"2026-03-31T21:48:00.000Z";"2026-03-31T21:51:00.000Z";1308.89
"2026-03-31T21:51:00.000Z";"2026-03-31T21:54:00.000Z";1300.94
"2026-03-31T21:54:00.000Z";"2026-03-31T21:57:00.000Z";1299.17
"2026-03-31T21:57:00.000Z";"2026-03-31T22:00:00.000Z";1294.17
"2026-03-31T22:00:00.000Z";"2026-03-31T22:03:00.000Z";1273.79
"2026-03-31T22:03:00.000Z";"2026-03-31T22:06:00.000Z";1273.61
"2026-03-31T22:06:00.000Z";"2026-03-31T22:09:00.000Z";1259.78
"2026-03-31T22:09:00.000Z";"2026-03-31T22:12:00.000Z";1229.07
"2026-03-31T22:12:00.000Z";"2026-03-31T22:15:00.000Z";1211.11
"2026-03-31T22:15:00.000Z";"2026-03-31T22:18:00.000Z";1194.28
"2026-03-31T22:18:00.000Z";"2026-03-31T22:21:00.000Z";1190.39
"2026-03-31T22:21:00.000Z";"2026-03-31T22:24:00.000Z";1193.39
"2026-03-31T22:24:00.000Z";"2026-03-31T22:27:00.000Z";1201.11
"2026-03-31T22:27:00.000Z";"2026-03-31T22:30:00.000Z";1248.44
"2026-03-31T22:30:00.000Z";"2026-03-31T22:33:00.000Z";1271.22
"2026-03-31T22:33:00.000Z";"2026-03-31T22:36:00.000Z";1308.88
"2026-03-31T22:36:00.000Z";"2026-03-31T22:39:00.000Z";1311.28
"2026-03-31T22:39:00.000Z";"2026-03-31T22:42:00.000Z";1303
"2026-03-31T22:42:00.000Z";"2026-03-31T22:45:00.000Z";1288.79
"2026-03-31T22:45:00.000Z";"2026-03-31T22:48:00.000Z";1288.17
"2026-03-31T22:48:00.000Z";"2026-03-31T22:51:00.000Z";1259.91
"2026-03-31T22:51:00.000Z";"2026-03-31T22:54:00.000Z";1256.89
