"startTime";"endTime";"Solar power generation forecast - updated once a day"
"2026-03-31T21:00:00.000Z";"2026-03-31T21:15:00.000Z";0
"2026-03-31T21:15:00.000Z";"2026-03-31T21:30:00.000Z";0
"2026-03-31T21:30:00.000Z";"2026-03-31T21:45:00.000Z";0
"2026-03-31T21:45:00.000Z";"2026-03-31T22:00:00.000Z";0
"2026-03-31T22:00:00.000Z";"2026-03-31T22:15:00.000Z";0
"2026-03-31T22:15:00.000Z";"2026-03-31T22:30:00.000Z";0
"2026-03-31T22:30:00.000Z";"2026-03-31T22:45:00.000Z";0
"2026-03-31T22:45:00.000Z";"2026-03-31T23:00:00.000Z";0
"2026-03-31T23:00:00.000Z";"2026-03-31T23:15:00.000Z";0
"2026-03-31T23:15:00.000Z";"2026-03-31T23:30:00.000Z";0
"2026-03-31T23:30:00.000Z";"2026-03-31T23:45:00.000Z";0
"2026-03-31T23:45:00.000Z";"2026-04-01T00:00:00.000Z";0
"2026-04-01T00:00:00.000Z";"2026-04-01T00:15:00.000Z";0
"2026-04-01T00:15:00.000Z";"2026-04-01T00:30:00.000Z";0
"2026-04-01T00:30:00.000Z";"2026-04-01T00:45:00.000Z";0
"2026-04-01T00:45:00.000Z";"2026-04-01T01:00:00.000Z";0
"2026-04-01T01:00:00.000Z";"2026-04-01T01:15:00.000Z";0
"2026-04-01T01:15:00.000Z";"2026-04-01T01:30:00.000Z";0
"2026-04-01T01:30:00.000Z";"2026-04-01T01:45:00.000Z";0
"2026-04-01T01:45:00.000Z";"2026-04-01T02:00:00.000Z";0
"2026-04-01T02:00:00.000Z";"2026-04-01T02:15:00.000Z";0
"2026-04-01T02:15:00.000Z";"2026-04-01T02:30:00.000Z";0
"2026-04-01T02:30:00.000Z";"2026-04-01T02:45:00.000Z";0
"2026-04-01T02:45:00.000Z";"2026-04-01T03:00:00.000Z";0
"2026-04-01T03:00:00.000Z";"2026-04-01T03:15:00.000Z";0
"2026-04-01T03:15:00.000Z";"2026-04-01T03:30:00.000Z";0.3
"2026-04-01T03:30:00.000Z";"2026-04-01T03:45:00.000Z";0.7
"2026-04-01T03:45:00.000Z";"2026-04-01T04:00:00.000Z";1
"2026-04-01T04:00:00.000Z";"2026-04-01T04:15:00.000Z";17.7
"2026-04-01T04:15:00.000Z";"2026-04-01T04:30:00.000Z";37.4
"2026-04-01T04:30:00.000Z";"2026-04-01T04:45:00.000Z";57
"2026-04-01T04:45:00.000Z";"2026-04-01T05:00:00.000Z";76.7
"2026-04-01T05:00:00.000Z";"2026-04-01T05:15:00.000Z";111.7
"2026-04-01T05:15:00.000Z";"2026-04-01T05:30:00.000Z";142.4
"2026-04-01T05:30:00.000Z";"2026-04-01T05:45:00.000Z";173.2
"2026-04-01T05:45:00.000Z";"2026-04-01T06:00:00.000Z";203.9
"2026-04-01T06:00:00.000Z";"2026-04-01T06:15:00.000Z";245.3
"2026-04-01T06:15:00.000Z";"2026-04-01T06:30:00.000Z";277
"2026-04-01T06:30:00.000Z";"2026-04-01T06:45:00.000Z";308.8
"2026-04-01T06:45:00.000Z";"2026-04-01T07:00:00.000Z";340.6
"2026-04-01T07:00:00.000Z";"2026-04-01T07:15:00.000Z";368.1
"2026-04-01T07:15:00.000Z";"2026-04-01T07:30:00.000Z";397.3
"2026-04-01T07:30:00.000Z";"2026-04-01T07:45:00.000Z";426.4
"2026-04-01T07:45:00.000Z";"2026-04-01T08:00:00.000Z";455.6
"2026-04-01T08:00:00.000Z";"2026-04-01T08:15:00.000Z";487.5
"2026-04-01T08:15:00.000Z";"2026-04-01T08:30:00.000Z";513.4
"2026-04-01T08:30:00.000Z";"2026-04-01T08:45:00.000Z";539.3
"2026-04-01T08:45:00.000Z";"2026-04-01T09:00:00.000Z";565.2
