"startTime";"endTime";"Wind power production - real-time data"
"2026-03-31T21:00:00.000Z";"2026-03-31T21:03:00.000Z";1256.31
"2026-03-31T21:03:00.000Z";"2026-03-31T21:06:00.000Z";1288.33
"2026-03-31T21:06:00.000Z";"2026-03-31T21:09:00.000Z";1297.16
"2026-03-31T21:09:00.000Z";"2026-03-31T21:12:00.000Z";1321.66
"2026-03-31T21:12:00.000Z";"2026-03-31T21:15:00.000Z";1337.98
"2026-03-31T21:15:00.000Z";"2026-03-31T21:18:00.000Z";1345.69
"2026-03-31T21:18:00.000Z";"2026-03-31T21:21:00.000Z";1345.67
"2026-03-31T21:21:00.000Z";"2026-03-31T21:24:00.000Z";1360.99
"2026-03-31T21:24:00.000Z";"2026-03-31T21:27:00.000Z";1363.68
"2026-03-31T21:27:00.000Z";"2026-03-31T21:30:00.000Z";1353.84
"2026-03-31T21:30:00.000Z";"2026-03-31T21:33:00.000Z";1349.68
"2026-03-31T21:33:00.000Z";"2026-03-31T21:36:00.000Z";1336.66
"2026-03-31T21:36:00.000Z";"2026-03-31T21:39:00.000Z";1345.67
"2026-03-31T21:39:00.000Z";"2026-03-31T21:42:00.000Z";1349
"2026-03-31T21:42:00.000Z";"2026-03-31T21:45:00.000Z";1355.99
"2026-03-31T21:45:00.000Z";"2026-03-31T21:48:00.000Z";1313.19
"2026-03-31T21:48:00.000Z";"2026-03-31T21:51:00.000Z";1319.64
"2026-03-31T21:51:00.000Z";"2026-03-31T21:54:00.000Z";1339.82
"2026-03-31T21:54:00.000Z";"2026-03-31T21:57:00.000Z";1350.33
"2026-03-31T21:57:00.000Z";"2026-03-31T22:00:00.000Z";1349.87
"2026-03-31T22:00:00.000Z";"2026-03-31T22:03:00.000Z";1311.57
"2026-03-31T22:03:00.000Z";"2026-03-31T22:06:00.000Z";1294.18
"2026-03-31T22:06:00.000Z";"2026-03-31T22:09:00.000Z";1296.02
"2026-03-31T22:09:00.000Z";"2026-03-31T22:12:00.000Z";1295.49
"2026-03-31T22:12:00.000Z";"2026-03-31T22:15:00.000Z";1311
"2026-03-31T22:15:00.000Z";"2026-03-31T22:18:00.000Z";1318.7
"2026-03-31T22:18:00.000Z";"2026-03-31T22:21:00.000Z";1347.77
"2026-03-31T22:21:00.000Z";"2026-03-31T22:24:00.000Z";1422.33
"2026-03-31T22:24:00.000Z";"2026-03-31T22:27:00.000Z";1421.82
"2026-03-31T22:27:00.000Z";"2026-03-31T22:30:00.000Z";1442.62
"2026-03-31T22:30:00.000Z";"2026-03-31T22:33:00.000Z";1435.18
"2026-03-31T22:33:00.000Z";"2026-03-31T22:36:00.000Z";1468.93
"2026-03-31T22:36:00.000Z";"2026-03-31T22:39:00.000Z";1503.67
"2026-03-31T22:39:00.000Z";"2026-03-31T22:42:00.000Z";1505.99
"2026-03-31T22:42:00.000Z";"2026-03-31T22:45:00.000Z";1509
"2026-03-31T22:45:00.000Z";"2026-03-31T22:48:00.000Z";1529.14
"2026-03-31T22:48:00.000Z";"2026-03-31T22:51:00.000Z";1520
"2026-03-31T22:51:00.000Z";"2026-03-31T22:54:00.000Z";1525.5
"2026-03-31T22:54:00.000Z";"2026-03-31T22:57:00.000Z";1531.81
"2026-03-31T22:57:00.000Z";"2026-03-31T23:00:00.000Z";1536.8
"2026-03-31T23:00:00.000Z";"2026-03-31T23:03:00.000Z";1548.99
"2026-03-31T23:03:00.000Z";"2026-03-31T23:06:00.000Z";1641.49
"2026-03-31T23:06:00.000Z";"2026-03-31T23:09:00.000Z";1665.15
"2026-03-31T23:09:00.000Z";"2026-03-31T23:12:00.000Z";1666.34
"2026-03-31T23:12:00.000Z";"2026-03-31T23:15:00.000Z";1654.85
"2026-03-31T23:15:00.000Z";"2026-03-31T23:18:00.000Z";1644.52
"2026-03-31T23:18:00.000Z";"2026-03-31T23:21:00.000Z";1619.36
"2026-03-31T23:21:00.000Z";"2026-03-31T23:24:00.000Z";1617.67
"2026-03-31T23:24:00.000Z";"2026-03-31T23:27:00.000Z";1630.33
"2026-03-31T23:27:00.000Z";"2026-03-31T23:30:00.000Z";1628.32
"2026-03-31T23:30:00.000Z";"2026-03-31T23:33:00.000Z";1602.7
"2026-03-31T23:33:00.000Z";"2026-03-31T23:36:00.000Z";1581.51
"2026-03-31T23:36:00.000Z";"2026-03-31T23:39:00.000Z";1596.32
"2026-03-31T23:39:00.000Z";"2026-03-31T23:42:00.000Z";1601.5
"2026-03-31T23:42:00.000Z";"2026-03-31T23:45:00.000Z";1580.33
"2026-03-31T23:45:00.000Z";"2026-03-31T23:48:00.000Z";1591.64
"2026-03-31T23:48:00.000Z";"2026-03-31T23:51:00.000Z";1661.97
"2026-03-31T23:51:00.000Z";"2026-03-31T23:54:00.000Z";1679.21
"2026-03-31T23:54:00.000Z";"2026-03-31T23:57:00.000Z";1666.98
"2026-03-31T23:57:00.000Z";"2026-04-01T00:00:00.000Z";1675.16
"2026-04-01T00:00:00.000Z";"2026-04-01T00:03:00.000Z";1626.35
"2026-04-01T00:03:00.000Z";"2026-04-01T00:06:00.000Z";1581.18
"2026-04-01T00:06:00.000Z";"2026-04-01T00:09:00.000Z";1585.18
"2026-04-01T00:09:00.000Z";"2026-04-01T00:12:00.000Z";1599.47
"2026-04-01T00:12:00.000Z";"2026-04-01T00:15:00.000Z";1590.17
"2026-04-01T00:15:00.000Z";"2026-04-01T00:18:00.000Z";1591.65
"2026-04-01T00:18:00.000Z";"2026-04-01T00:21:00.000Z";1664.2
"2026-04-01T00:21:00.000Z";"2026-04-01T00:24:00.000Z";1705.33
"2026-04-01T00:24:00.000Z";"2026-04-01T00:27:00.000Z";1709.35
"2026-04-01T00:27:00.000Z";"2026-04-01T00:30:00.000Z";1702.83
"2026-04-01T00:30:00.000Z";"2026-04-01T00:33:00.000Z";1706.31
"2026-04-01T00:33:00.000Z";"2026-04-01T00:36:00.000Z";1716.35
"2026-04-01T00:36:00.000Z";"2026-04-01T00:39:00.000Z";1718.46
"2026-04-01T00:39:00.000Z";"2026-04-01T00:42:00.000Z";1712.19
"2026-04-01T00:42:00.000Z";"2026-04-01T00:45:00.000Z";1701.67
"2026-04-01T00:45:00.000Z";"2026-04-01T00:48:00.000Z";1718.51
"2026-04-01T00:48:00.000Z";"2026-04-01T00:51:00.000Z";1719.34
"2026-04-01T00:51:00.000Z";"2026-04-01T00:54:00.000Z";1692.52
"2026-04-01T00:54:00.000Z";"2026-04-01T00:57:00.000Z";1688.34
"2026-04-01T00:57:00.000Z";"2026-04-01T01:00:00.000Z";1689.16
"2026-04-01T01:00:00.000Z";"2026-04-01T01:03:00.000Z";1673.21
"2026-04-01T01:03:00.000Z";"2026-04-01T01:06:00.000Z";1692.65
"2026-04-01T01:06:00.000Z";"2026-04-01T01:09:00.000Z";1685.69
"2026-04-01T01:09:00.000Z";"2026-04-01T01:12:00.000Z";1700.82
"2026-04-01T01:12:00.000Z";"2026-04-01T01:15:00.000Z";1697.83
"2026-04-01T01:15:00.000Z";"2026-04-01T01:18:00.000Z";1699.97
"2026-04-01T01:18:00.000Z";"2026-04-01T01:21:00.000Z";1681.34
"2026-04-01T01:21:00.000Z";"2026-04-01T01:24:00.000Z";1692.84
"2026-04-01T01:24:00.000Z";"2026-04-01T01:27:00.000Z";1716.14
"2026-04-01T01:27:00.000Z";"2026-04-01T01:30:00.000Z";1716.84
"2026-04-01T01:30:00.000Z";"2026-04-01T01:33:00.000Z";1701.03
"2026-04-01T01:33:00.000Z";"2026-04-01T01:36:00.000Z";1688.51
"2026-04-01T01:36:00.000Z";"2026-04-01T01:39:00.000Z";1668.84
"2026-04-01T01:39:00.000Z";"2026-04-01T01:42:00.000Z";1657.81
"2026-04-01T01:42:00.000Z";"2026-04-01T01:45:00.000Z";1671.85
"2026-04-01T01:45:00.000Z";"2026-04-01T01:48:00.000Z";1679.35
"2026-04-01T01:48:00.000Z";"2026-04-01T01:51:00.000Z";1685.35
